category_level1,category_level2,paper_count,sample_titles
Vision-Language & Multimodal,VLM/MLLM Reasoning & Agents,566,RetouchIQ: MLLM Agents for Instruction-Based Image Retouching with Generalist Reward | GraphVLM: Benchmarking Vision Language Models for Multimodal Graph Learning | MovieRecapsQA: A Multimodal Open-Ended Video Question-Answering Benchmark
Generation & Editing,Image/Video Generation & Diffusion,518,"Training-free, Perceptually Consistent Low-Resolution Previews with High-Resolution Image for Efficient Workflows of Diffusion Models | Erasing Thousands of Concepts: Towards Scalable and Practical Concept Erasure for Text-to-Image Diffusion Models | Physical Simulator In-the-Loop Video Generation"
3D Vision & Geometry,Reconstruction & 3D Scene Representation,285,DirectFisheye-GS: Enabling Native Fisheye Input in Gaussian Splatting with Cross-View Joint Optimization | REArtGS++: Generalizable Articulation Reconstruction with Temporal Geometry Constraint via Planar Gaussian Splatting | LongStream: Long-Sequence Streaming Autoregressive Visual Geometry
Video & Motion,Video Understanding & Temporal Reasoning,173,APPO: Attention-guided Perception Policy Optimization for Video Reasoning | First Frame Is the Place to Go for Video Content Customization | SEASON: Mitigating Temporal Hallucination in Video Large Language Models via Self-Diagnostic Contrastive Decoding
"Learning, Efficiency & Trustworthiness","Efficiency, Distillation, Pruning & NAS",167,"GR-Gauge: Cost-efficient Training Configuration By Gauging the Gradient Redundancy | DocPrune: Efficient Document Question Answering via Background, Question, and Comprehension-aware Token Pruning | HyperNAS: Enhancing Architecture Representation for NAS Predictor via Hypernetwork"
"Learning, Efficiency & Trustworthiness","Adaptation, Continual & Federated Learning",156,Continual Distillation of Teachers from Different Domains | Quantized Residuals to Continuous Prompts for Few-Shot Class Incremental Learning in Vision-Language Models | SPEGC: Continual Test-Time Adaptation via Semantic-Prompt-Enhanced Graph Clustering for Medical Image Segmentation
Recognition & Segmentation,"Classification, Retrieval & Fine-grained Recognition",150,What Is the Optimal Ranking Score Between Precision and Recall? We Can Always Find It and It Is Rarely F1 | Learning What Helps: Task-Aligned Context Selection for Vision Tasks | PRISM: Prototype-based Reasoning with Inter-modal Semantic Mining for Interpretable Image Recognition
Low-Level Vision & Imaging,"Restoration, Enhancement & Super-Resolution",137,"White-Balance First, Adjust Later: Cross-Camera Color Constancy via Vision-Language Evaluation | Polarization State Tracing for Reflection Removal and Color-Consistent Reconstruction | Rectifying Latent Space for Generative Single-Image Reflection Removal"
"Learning, Efficiency & Trustworthiness","Robustness, Safety, Privacy & Security",135,Reallocating Attention Across Layers to Reduce Multimodal Hallucination | POUR: A Provably Optimal Method for Unlearning Representation via Neural Collapse | GuardTrace-VL: Detecting Unsafe Multimodel Reasoning via Iterative Safety Supervision
3D Vision & Geometry,Neural Rendering & Gaussian Splatting,130,HeroGS: Hierarchical Guidance for Robust 3D Gaussian Splatting under Sparse Views | PhysIR-Splat: Physically Consistent Thermal Infrared Radiative Transfer in 3D Gaussian Splatting | RT-Splatting: Joint Reflection-Transmission Modeling with Gaussian Splatting
